frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756946087.875197,15.041748,60.124236,52.610978,266.712145,220.67017,297.984278,0.0,425.76124,23555805687704,23555078835015
10,1756946088.301833,18.314151,60.724013,53.949245,269.061526,227.90903699999998,299.474826,0.0,432.462235,23556232324282,23555425644544
15,1756946088.6936038,15.492497,59.755351,50.617241,230.763151,180.41972099999998,259.901131,0.0,385.76622,23556624095663,23555772913705
20,1756946089.098046,15.388437,60.818117,57.318876,235.465501,177.70604,265.882116,0.0,399.407546,23557028538439,23556139451025
25,1756946089.4844136,17.170983,60.237349,50.208225,212.157354,175.098434,252.867867,0.0,380.484424,23557414905377,23556577143847
30,1756946089.9121916,15.515723,59.821493,56.35349,257.049961,195.091992,288.457161,0.0,420.147867,23557842683700,23556967863621
35,1756946090.345986,15.466958,60.579822,59.125639,260.904325,197.096497,293.073599,0.0,428.246018,23558276477691,23557372478769
40,1756946090.7636657,15.332492,61.026996,55.969954,245.4202,201.272461,279.388465,0.0,411.717907,23558694157864,23557762856420
45,1756946091.1948,15.35033,62.752584,55.652629,254.190318,209.195995,291.024305,0.0,424.779848,23559125289484,23558187983469
50,1756946091.6485124,15.737922,62.293312,56.929341,261.110329,237.843647,313.341998,0.0,448.302573,23559578997171,23558621278216
55,1756946092.0828683,16.174069,64.349506,54.72447,255.219192,215.432051,293.34253,0.0,428.590575,23560013359871,23559039760997
60,1756946092.5760086,15.536344,61.524136,64.440956,303.704872,225.59322500000002,345.068074,0.0,486.56951,23560506500116,23559470150903
65,1756946093.081674,15.512828,61.221253,68.344263,309.781504,242.99393099999998,352.937797,0.0,498.016141,23561012164751,23559924068440
70,1756946093.5822544,15.993463,62.158686,65.681062,307.129929,242.598075,350.968425,0.0,494.801636,23561512745673,23560359669022
75,1756946094.0669546,15.953983,60.827671,62.711882,283.418225,248.446646,338.684654,0.0,478.17819,23561997446075,23560852819624
80,1756946094.5376072,15.403331,60.426247,60.493239,283.884028,248.28594099999998,328.059439,0.0,464.382256,23562468099059,23561357506374
85,1756946095.0064838,15.359043,60.934905,58.237631,283.0156,244.090496,328.998224,0.0,463.529803,23562936974776,23561858406043
90,1756946095.4708178,15.347896,61.711812,58.927085,277.059173,235.352788,321.941225,0.0,457.928018,23563401308457,23562342996486
95,1756946095.9521785,15.274343,61.719705,58.853532,295.398082,251.57551,340.661286,0.0,476.508866,23563882669242,23562813063003
100,1756946096.448137,15.361797,61.792586,58.261127,304.573741,268.1232,355.212363,0.0,490.627873,23564378627435,23563282329297
105,1756946096.9509232,15.423151,61.803553,63.688264,309.748042,252.83069,356.18435,0.0,497.099318,23564881415390,23563746149804
110,1756946097.4210875,15.495762,61.673825,59.650761,279.762475,240.72233699999998,325.688744,0.0,462.509092,23565351579746,23564227488325
115,1756946097.9033694,15.233631,59.860222,60.312303,294.418554,246.10013899999998,340.833739,0.0,476.239895,23565833859855,23564723791505
120,1756946098.419858,15.925369,60.726636,65.442487,320.318493,269.930252,369.108969,0.0,511.203461,23566350350140,23565228520428
125,1756946098.966273,15.171686,62.278549,68.830717,336.609771,268.95201699999996,393.071406,0.0,539.352358,23566896764946,23565696934277
130,1756946099.4914043,15.407247,61.260092,65.072851,327.72143,279.552704,376.823844,0.0,518.564034,23567421896061,23566178744598
135,1756946100.0062823,15.319162,60.989618,65.785892,319.192961,266.835551,366.605511,0.0,508.700183,23567936773940,23566696496331
140,1756946100.5276783,15.333184,61.319122,65.527486,321.461029,269.009655,372.841886,0.0,515.021678,23568458170244,23567243510163
145,1756946101.0669284,15.755829,61.914162,64.414966,332.279389,292.187602,391.22359,0.0,533.308547,23568997420185,23567767860854
150,1756946101.6443965,15.170655,61.137625,62.838495,346.050434,351.64631899999995,432.500318,0.0,571.647093,23569574887627,23568283472355
155,1756946102.2057927,15.457964,61.574232,64.026161,346.034028,314.933238,414.962255,0.0,556.020612,23570136284669,23568803978548
160,1756946102.7879505,15.341917,60.758194,72.727966,360.421245,316.118469,426.753401,0.0,575.581478,23570718442202,23569343369154
165,1756946103.3300388,15.282456,61.743701,61.776883,331.133256,298.547205,396.320201,0.0,535.123241,23571260530712,23569920548045
170,1756946103.8690526,15.157074,60.837225,60.877787,333.903362,311.42845,396.976656,0.0,533.848742,23571799544310,23570483036575
175,1756946104.3979373,15.172817,60.536846,56.530952,326.754621,315.453803,391.007649,0.0,523.248264,23572328428221,23571064530944
180,1756946104.9378803,16.3247,63.664417,55.73874,333.310275,335.27607900000004,397.030217,0.0,532.758074,23572868372292,23571606412767
185,1756946105.4994333,15.293974,62.742928,59.528104,346.871909,327.306956,416.566265,0.0,554.131271,23573429924649,23572145576185
190,1756946106.0152256,17.674693,62.169692,51.64449,307.139161,313.15595,376.438274,0.0,507.927149,23573945717043,23572675801987
195,1756946106.5156584,15.281724,60.966042,48.673828,299.80063,313.644267,369.340812,0.0,494.262406,23574446150054,23573214833382
200,1756946107.1277592,16.430441,63.14265,64.392801,365.214092,354.609389,460.779484,0.0,604.745376,23575058249794,23573776375023
205,1756946107.647357,16.031641,62.906559,54.596033,311.44279,301.340243,379.413651,0.0,512.947884,23575577848898,23574291871876
210,1756946108.1740682,15.244297,61.833018,56.470629,315.383875,306.344956,384.993362,0.0,518.541306,23576104559665,23574793053982
215,1756946108.674335,15.31749,64.414624,53.659691,290.051534,288.541024,360.57575,0.0,493.967555,23576604826791,23575404838479
220,1756946109.2201743,17.374975,62.905657,63.362907,326.083604,290.136454,396.07153,0.0,539.715069,23577150665893,23575925856653
225,1756946109.7333841,15.480058,62.086084,54.395566,294.329835,291.663949,375.088218,0.0,507.049926,23577663876008,23576451144324
230,1756946110.2153392,16.906699,67.573184,49.575026,274.349357,267.722795,340.752662,0.0,474.807571,23578145830125,23576951250884
235,1756946110.6979556,15.451464,62.211896,49.663782,277.493314,275.76104499999997,347.142982,0.0,474.470124,23578628447996,23577496945215
240,1756946111.1735861,15.44249,66.444568,49.216468,269.714229,271.856054,337.816913,0.0,468.920439,23579104078514,23578010768477
245,1756946111.6655977,15.495682,62.391692,56.447322,284.517933,247.116761,347.81553,0.0,482.150226,23579596089697,23578494516105
250,1756946112.1697648,15.188012,62.64567,60.680825,290.239271,263.699293,359.289092,0.0,497.803599,23580100256594,23578975173840
255,1756946112.6425836,15.504646,63.097871,51.368838,274.061716,259.46608000000003,335.581605,0.0,465.55296,23580573075533,23579454171366
260,1756946113.139984,16.394536,63.263264,56.496097,291.028217,269.80001,353.634236,0.0,489.788133,23581070472440,23579943051942
265,1756946113.6443539,15.491084,62.778964,55.614219,302.697748,275.452653,363.983519,0.0,497.867786,23581574845702,23580448490444
270,1756946114.1074822,15.345913,62.518515,51.274655,270.490837,249.26361300000002,326.9187,0.0,456.057783,23582037972773,23580920215720
275,1756946114.596223,15.365373,64.356946,54.282623,281.416992,265.37992199999997,348.926838,0.0,482.93178,23582526715487,23581416992879
280,1756946115.0559852,16.237306,66.526683,48.935218,260.056753,246.92100100000002,320.813856,0.0,452.513063,23582986476912,23581922048685
285,1756946115.5266194,15.670859,64.897893,53.421207,269.491058,242.34022599999997,330.205674,0.0,464.195633,23583457111590,23582384181615
290,1756946116.0163162,16.447817,65.778499,58.188315,278.474302,262.310921,342.615749,0.0,483.03038,23583946807982,23582874067878
295,1756946116.5314062,18.553136,64.051839,64.531243,298.688788,256.370046,360.731936,0.0,507.868154,23584461897988,23583333978591
300,1756946117.015233,15.438624,63.642664,56.592585,266.11124,266.600117,338.629043,0.0,474.302916,23584945724576,23583804846345
305,1756946117.4536664,15.663648,63.909482,49.697843,240.363974,235.161431,301.662074,0.0,430.933047,23585384158291,23584294850798
310,1756946117.9227405,15.372513,64.211794,61.538877,258.608428,219.552977,320.072011,0.0,461.195195,23585853231511,23584810574533
315,1756946118.347061,15.446357,66.420591,49.193122,226.12181,216.162122,286.935137,0.0,417.995207,23586277552479,23585292819112
320,1756946118.831177,15.308065,65.265124,60.579681,268.979825,245.828929,335.95876,0.0,477.11163,23586761668919,23585732714902
325,1756946119.350875,15.322146,64.967359,67.104757,288.441641,252.179308,365.897914,0.0,513.292176,23587281366168,23586201866292
330,1756946119.8472204,15.246821,64.456218,63.415526,278.269379,258.889589,346.150683,0.0,489.269248,23587777711975,23586625302136
335,1756946120.3513467,15.279121,64.906726,65.642011,286.820862,238.239416,351.405636,0.0,497.233494,23588281838578,23587107941097
340,1756946120.8382506,15.550685,64.935801,62.961442,269.583418,240.910539,336.84187,0.0,480.289798,23588768742859,23587628525493
345,1756946121.3504949,15.522522,63.067855,65.248719,290.89455,252.91830800000002,360.142494,0.0,503.98159,23589280987003,23588124110567
350,1756946121.8842998,15.379373,63.697598,68.118356,300.844013,260.916656,379.069422,0.0,526.264749,23589814791189,23588629440709
355,1756946122.4177895,15.445855,64.074615,67.443865,307.480408,272.457873,378.818718,0.0,525.783053,23590348281265,23589116983206
360,1756946122.9448361,15.201592,63.543001,64.823198,302.161587,274.29972899999996,376.988871,0.0,520.556662,23590875328471,23589629233900
365,1756946123.4801838,16.274181,65.841486,65.274598,310.469118,271.927421,378.710022,0.0,526.100287,23591410674945,23590162986397
370,1756946124.0102122,15.267543,63.684377,65.317585,306.026856,261.654855,379.059525,0.0,523.32903,23591940703658,23590695394008
375,1756946124.5259938,15.477904,65.093211,61.008506,286.407589,278.02293099999997,367.667799,0.0,509.24742,23592456485920,23591223452529
380,1756946125.0474014,15.721787,66.439821,63.429607,294.502916,256.632837,367.291925,0.0,512.88314,23592977892961,23591757776359
385,1756946125.58366,15.720264,63.787826,70.406755,304.338304,267.314908,379.35048,0.0,529.265325,23593514151518,23592288044939
390,1756946126.0868006,15.280983,63.998247,63.054344,280.135761,247.95515899999998,353.055217,0.0,495.388791,23594017292522,23592805886830
395,1756946126.6248782,15.27916,63.160657,67.263569,308.767966,264.283094,383.305407,0.0,529.008793,23594555370010,23593324890046
400,1756946127.1253219,15.332261,62.846897,61.968794,263.697157,253.225598,352.695187,0.0,492.843139,23595055813520,23593861476454
405,1756946127.6260836,15.343769,64.283874,65.930551,277.269287,227.747273,346.541999,0.0,492.100193,23595556574484,23594366372441
410,1756946128.1527476,17.127356,64.68677,72.629533,298.083952,232.72655600000002,364.844692,0.0,519.288351,23596083238732,23594902056430
415,1756946128.6380754,15.470683,64.614109,63.879926,259.142153,234.95378,334.386313,0.0,478.351031,23596568566660,23595404797111
