frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756942553.7450569,15.092666,63.259464,63.496296,268.062749,214.979245,304.874916,0.0,446.723342,20021675548128,20020555259700
10,1756942554.1934538,17.092234,64.636019,65.979352,272.704767,222.961229,312.569431,0.0,460.277036,20022123945180,20020903016152
15,1756942554.6801834,15.639643,62.603642,69.346201,292.493054,210.343796,333.233966,0.0,480.823452,20022610674832,20021549507160
20,1756942555.153199,16.103112,61.530931,64.595347,284.246434,227.164426,323.698266,0.0,465.927656,20023083690014,20022002611189
25,1756942555.7140815,15.289638,60.723547,83.915006,344.641368,259.032773,396.479159,0.0,556.40735,20023644573558,20022471988940
30,1756942556.2435164,15.577027,62.77308,71.466042,324.827423,262.506914,373.699589,0.0,523.515738,20024174008507,20022956407459
35,1756942556.7518072,15.504396,65.230809,74.450495,300.045381,233.256531,345.633636,0.0,500.819336,20024682299427,20023426824809
40,1756942557.2690384,15.74887,61.238644,71.930753,315.964331,241.36843399999998,361.343756,0.0,510.262023,20025199530125,20023989602419
45,1756942557.7671702,15.773498,61.999638,64.740008,302.784939,248.196093,349.514068,0.0,492.027212,20025697662392,20024520157691
50,1756942558.2943134,15.386376,61.286547,69.566758,321.203332,263.75987000000003,375.078197,0.0,521.317878,20026224804665,20025028217968
55,1756942558.834222,16.735749,63.067861,73.074612,328.988465,270.64223400000003,380.112734,0.0,532.990956,20026764712877,20025544977425
60,1756942559.358008,15.221533,62.075033,69.716818,320.387644,256.483104,371.173335,0.0,518.186719,20027288498778,20026042624070
65,1756942559.8917222,16.255935,61.920677,66.821831,329.556803,279.59456,382.18975,0.0,527.188193,20027822214151,20026570382475
70,1756942560.428524,15.48732,61.646158,74.777294,324.619625,254.070324,377.597529,0.0,529.508301,20028359014832,20027109898628
75,1756942560.9434063,15.190957,61.473804,66.901402,312.134094,256.666675,365.3684,0.0,508.934563,20028873898011,20027634117801
80,1756942561.4381232,16.106437,62.450728,63.345776,297.248735,257.98614200000003,346.346285,0.0,488.249226,20029368614835,20028168579446
85,1756942561.888379,15.849935,61.311966,55.476193,268.519879,225.498077,311.423518,0.0,444.061612,20029818871099,20028704602247
90,1756942562.346765,15.310881,61.73989,55.620855,273.699939,241.18966999999998,319.704229,0.0,452.375855,20030277255431,20029219340044
95,1756942562.8304589,15.239772,62.964873,60.410799,291.68675,244.164059,336.811376,0.0,475.42682,20030760950222,20029714028264
100,1756942563.338963,15.104215,61.576741,60.119352,303.40689,257.844014,364.846462,0.0,501.64677,20031269454187,20030163886499
105,1756942563.854583,15.553021,64.626805,64.271491,310.664086,268.07685,360.794847,0.0,505.246164,20031785074192,20030624565069
110,1756942564.3859346,15.904357,62.752219,69.84277,322.291074,257.881102,375.064114,0.0,523.56346,20032316426672,20031107394637
115,1756942564.9164436,15.6837,61.477039,69.209321,326.192189,261.282372,377.376871,0.0,523.746931,20032846935482,20031618459357
120,1756942565.5000196,15.207643,61.875007,78.500918,361.600228,273.09128799999996,419.505866,0.0,575.089434,20033430511592,20032133521540
125,1756942566.0734682,15.439928,62.281368,76.483203,351.892845,284.357463,413.6088,0.0,567.813299,20034003960148,20032663686414
130,1756942566.6660118,18.151013,63.573314,86.74895,356.167441,276.536146,417.139628,0.0,585.612905,20034596504420,20033195183866
135,1756942567.2470264,15.482153,66.780007,78.281733,355.53871,274.3941,414.634227,0.0,575.17812,20035177518753,20033776333996
140,1756942567.822798,15.208034,61.492522,80.127315,351.264064,258.452834,411.283984,0.0,568.111855,20035753290390,20034351021325
145,1756942568.4046576,16.21991,62.938763,80.343215,355.184017,254.043452,415.746508,0.0,575.248396,20036335149114,20034942007856
150,1756942568.9474947,15.607665,64.510987,72.662381,315.638012,250.78853600000002,383.142266,0.0,535.923299,20036877986163,20035526175410
155,1756942569.4877613,15.413678,62.85805,76.476833,322.199134,223.824038,377.773547,0.0,532.522108,20037418251511,20036100595220
160,1756942570.0232482,15.814961,63.528626,76.027526,314.993466,219.63327,373.833763,0.0,529.204876,20037953740195,20036681414425
165,1756942570.5206172,15.344011,67.875151,68.018341,283.912403,216.220972,339.593559,0.0,490.831062,20038451109114,20037225360720
170,1756942571.0772727,16.224578,66.322337,80.042275,329.222943,216.94210500000003,386.711723,0.0,549.300913,20039007764201,20037764993521
175,1756942571.5565414,15.402351,69.261991,59.987041,261.642563,229.18209,328.557275,0.0,473.208658,20039487032064,20038299352217
