frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756947857.5779495,14.916319,63.281565,25.087381,36.200756,272.574226,273.285874,0.0,376.571139,25325508440996,25324938982551
10,1756947857.9876573,15.258422,62.388038,26.751426,36.207075,315.748615,317.494754,0.0,421.89264,25325918148924,25325285568719
15,1756947858.4144895,16.620134,64.395458,31.295915,36.365707,305.19838100000004,305.898502,0.0,418.210009,25326344980997,25325630102529
20,1756947858.8221607,15.34928,64.602985,28.254775,41.557305,291.603393,292.324176,0.0,400.531216,25326752651560,25325975915385
25,1756947859.2790196,15.216307,60.971793,27.506281,36.471539,345.380985,347.158713,0.0,450.853094,25327209510988,25326321327438
30,1756947859.697347,15.40079,60.999965,27.694859,40.887792,307.810957,308.574373,0.0,412.669987,25327627838556,25326689479293
35,1756947860.1231074,15.942748,68.200776,26.012286,37.641648,307.54566,308.459778,0.0,418.615588,25328053598329,25327096997903
40,1756947860.5098615,15.384245,61.328057,27.674928,36.267457,275.437995,276.274614,0.0,380.661844,25328440353530,25327553779692
45,1756947860.9390588,15.306856,61.293615,27.596077,36.081823,317.76030000000003,318.561805,0.0,422.758353,25328869550007,25327972962358
50,1756947861.4092808,15.156476,60.751545,27.740369,35.427834,359.958746,360.737266,0.0,464.385656,25329339769473,25328398470756
55,1756947861.772273,16.920854,61.377512,26.755342,36.92994,250.532451,251.323431,0.0,356.377139,25329702764271,25328785436629
60,1756947862.1647947,16.008599,63.295986,25.958864,33.086953,280.63973799999997,281.474435,0.0,386.737884,25330095283615,25329212750838
65,1756947862.5591161,15.167163,62.365613,25.193163,31.048827,283.276451,283.980667,0.0,386.706606,25330489607358,25329684022413
70,1756947862.964054,15.670692,64.852076,26.144247,34.042384,290.7254,291.442256,0.0,398.109271,25330894545712,25330046093378
75,1756947863.4056866,15.589878,61.890157,26.38799,34.067112,330.34408099999996,331.146227,0.0,435.014252,25331336178685,25330439707155
80,1756947863.8214526,15.837877,62.648006,25.32821,33.309244,303.930451,304.705817,0.0,408.51991,25331751943223,25330833539226
85,1756947864.2308025,15.641047,63.615284,25.325075,34.13113,294.929799,295.713056,0.0,400.294462,25332161293452,25331239288289
90,1756947864.6142364,16.096373,60.814091,24.032199,36.98255,276.596263,277.381985,0.0,378.324648,25332544728414,25331680871116
95,1756947865.0130382,15.318954,62.743421,27.548926,41.778254,286.909795,287.672912,0.0,393.284213,25332943530184,25332097560368
100,1756947865.4530387,15.331633,62.688217,26.04116,37.592794,328.775551,329.515002,0.0,433.576012,25333383530239,25332503843978
105,1756947865.8669994,17.047788,61.942696,26.13235,33.417289,300.965857,301.695673,0.0,406.818507,25333797490507,25332889202321
110,1756947866.2876654,15.317463,62.43534,26.757965,34.550481,309.391742,310.169622,0.0,414.68039,25334218156609,25333287361367
115,1756947866.709682,16.024173,65.268522,26.395972,34.292156,306.516146,307.274595,0.0,414.963262,25334640173486,25333727887938
120,1756947867.074966,15.309289,62.587543,26.667407,34.980078,253.889583,254.660342,0.0,359.224581,25335005456311,25334141456517
125,1756947867.518892,15.193382,63.03714,25.189377,31.41092,333.239878,333.983115,0.0,437.403014,25335449382780,25334563220618
130,1756947867.9295318,15.962268,62.532198,25.231562,34.106232,298.197564,298.876302,0.0,402.60233,25335860023962,25334984581872
135,1756947868.3413484,15.382201,63.679953,25.98269,33.673991,299.948001,300.751069,0.0,405.795913,25336271839710,25335349263748
140,1756947868.752853,15.981797,62.988516,24.781473,30.280692,300.599877,301.409065,0.0,405.160851,25336683344813,25335793816705
145,1756947869.1289682,15.609298,64.180599,23.016454,35.069154,264.575673,265.323306,0.0,368.129657,25337059459501,25336203829135
150,1756947869.5411804,17.191778,62.964419,23.728202,30.56691,300.831271,301.605826,0.0,405.490225,25337471672125,25336616327968
155,1756947869.9117525,15.859501,63.662436,23.878032,30.747946,260.050773,260.809384,0.0,364.209353,25337842244076,25337029446768
160,1756947870.288981,15.456374,63.208302,21.64038,34.735154,270.251712,271.03484,0.0,371.339896,25338219470483,25337403058207
165,1756947870.6506948,15.698965,66.635533,22.345899,33.618026,248.919804,250.172519,0.0,354.852916,25338581186072,25337814773551
170,1756947871.01035,16.195125,63.552958,21.046502,28.929075,251.46192000000002,252.20097,0.0,352.995555,25338940840479,25338185880190
175,1756947871.4011657,16.53301,66.567088,21.105512,26.02219,279.628921,280.481725,0.0,384.687335,25339331656485,25338563126447
180,1756947871.7361023,16.178268,64.473276,22.472212,27.126399,223.758519,224.520685,0.0,327.644441,25339666592445,25338924728632
185,1756947872.0622303,16.6374,66.400483,23.856619,29.089741,209.969504,210.835799,0.0,317.730301,25339992720848,25339284471114
190,1756947872.380483,15.831848,64.775689,22.638456,28.276537,206.503585,207.358502,0.0,310.604495,25340310974879,25339675649334
