frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756943684.1973178,14.942003,60.93116,20.340406,26.128843,122.48602199999999,123.242717,0.0,219.456286,21152127808340,21151790617656
10,1756943684.471275,15.624425,59.580468,20.695938,22.103208,145.03898600000002,145.836313,0.0,241.737144,21152401767040,21152137106135
15,1756943684.8283486,15.141407,60.966564,25.500665,37.396837,151.592702,152.358661,0.0,253.967297,21152758840150,21152482735493
20,1756943685.2151873,15.089228,62.648853,25.320609,31.309764,190.654292,191.440763,0.0,294.499453,21153145678927,21152827864687
25,1756943685.566488,15.182381,62.343947,29.127432,44.888015,193.890141,194.64876,0.0,301.30252,21153496979694,21153173406401
30,1756943685.914381,15.305338,62.046213,28.19616,43.955041,195.704993,196.381325,0.0,301.929036,21153844873100,21153518243180
35,1756943686.2702098,15.187488,61.42218,28.829547,35.54476,206.24564700000002,206.977435,0.0,312.41665,21154200702052,21153865973406
40,1756943686.6111934,15.276805,62.905034,29.0542,36.549984,193.457312,194.253117,0.0,301.489156,21154541685408,21154211677489
45,1756943686.9574423,15.20191,61.952099,31.233237,45.645902,193.15649200000001,193.928502,0.0,302.315748,21154887933943,21154560406582
50,1756943687.3365355,15.167638,62.177183,28.301641,35.467281,231.169241,231.981762,0.0,337.628224,21155267027457,21154906589196
55,1756943687.6520076,17.397753,63.16388,28.423887,33.273142,196.92364500000002,197.664837,0.0,306.650357,21155582499683,21155253499082
60,1756943687.995706,16.78653,64.481501,25.154546,28.207147,198.08961499999998,198.836556,0.0,305.259133,21155926198596,21155599305483
65,1756943688.346679,15.387374,62.151023,27.670458,41.193014,202.748269,203.573398,0.0,308.782253,21156277171437,21155945043128
70,1756943688.670496,15.470531,61.67762,26.227454,35.691904,183.297271,184.065765,0.0,287.44137,21156600988094,21156290601722
75,1756943689.0376132,15.29278,64.438225,26.072988,29.532571,203.055038,203.817642,0.0,309.621635,21156968104553,21156636166966
80,1756943689.3941975,15.075127,64.609797,28.288632,34.043148,210.995012,211.781592,0.0,319.755148,21157324689833,21156980837824
85,1756943689.7294762,15.143111,64.309679,27.5542,32.556698,201.612104,202.38867,0.0,309.39566,21157659968112,21157326212178
90,1756943690.0682364,15.321653,62.563183,27.689887,34.358099,198.94297,199.764124,0.0,305.338847,21157998729999,21157671015859
