frame_number,timestamp,caption_time,detection_time,segmentation_time,clip_time,mapping_time,clip_mapping,queue_overhead,total_time,server_timestamp,client_timestamp
5,1756948104.0251226,14.969568,62.169864,25.268935,35.336808,142.525093,143.217581,0.0,245.625948,25571955613562,25571578702236
10,1756948104.2736144,16.092855,61.071976,26.896863,40.268869,152.101785,152.805441,0.0,256.867135,25572204106464,25571923953596
15,1756948104.611645,15.14111,62.967263,25.245219,30.60962,144.730906,145.395942,0.0,248.749534,25572542137534,25572269113876
20,1756948104.9273288,15.124895,61.204078,27.454967,33.464074,112.192045,112.848739,0.0,216.632679,25572857820775,25572613983812
25,1756948105.3092175,15.438475,62.119337,27.209311,34.091193,146.926832,147.71643,0.0,252.483553,25573239709090,25572961265486
30,1756948105.6506572,15.101429,61.524017,27.686401,36.274942,142.513385,143.305175,0.0,247.617022,25573581149302,25573307230797
35,1756948105.9928584,15.321175,61.261976,26.812846,33.939651,144.634828,145.344683,0.0,248.74068,25573923350468,25573652654739
40,1756948106.3308973,15.111825,60.495574,27.542541,36.179496,137.805938,138.519098,0.0,241.669038,25574261388858,25573997443251
45,1756948106.6864493,15.993633,61.566402,27.690717,36.820877,142.271625,142.999658,0.0,248.25041,25574616940516,25574343048521
50,1756948107.0400174,15.153979,61.04221,27.604065,37.96096,152.639056,153.374831,0.0,257.175085,25574970509512,25574689252507
55,1756948107.3726797,15.162523,61.074049,26.043018,40.711746,141.877152,142.60892,0.0,244.88851,25575303172043,25575033692976
60,1756948107.6996918,15.957839,60.700848,25.901191,33.250218,125.533554,126.205321,0.0,228.765199,25575630183835,25575379174066
65,1756948108.0556736,15.329488,60.869706,27.491553,40.047741,134.959505,135.70215,0.0,239.392897,25575986165700,25575723460850
70,1756948108.412676,15.238409,61.978571,26.317668,34.136833,148.892377,149.604226,0.0,253.138874,25576343168185,25576067998758
75,1756948108.7572856,15.158326,60.780089,25.189333,33.930037,150.571765,151.375424,0.0,252.503172,25576687777692,25576412718443
80,1756948109.1085875,15.150213,62.246762,26.014415,32.801933,154.506301,155.279573,0.0,258.690963,25577039079492,25576757411889
85,1756948109.4413316,15.229705,60.735972,26.111743,33.427098,146.199671,146.908924,0.0,248.986344,25577371824348,25577101538978
90,1756948109.792759,15.208122,61.475352,26.035917,35.057181,152.019749,152.717957,0.0,255.437348,25577723251269,25577446082294
95,1756948110.131163,15.00997,61.698493,27.43771,37.801126,145.617962,146.300986,0.0,250.447159,25578061655248,25577790555463
100,1756948110.4788725,15.159648,61.496374,25.964238,35.634062,149.239849,149.948873,0.0,252.569133,25578409364624,25578134952956
105,1756948110.7996976,15.020926,61.915655,26.152837,34.405073,123.865633,124.650182,0.0,227.7396,25578730190247,25578479181170
110,1756948111.1756299,15.220481,61.861923,27.604166,35.66568,155.814711,156.569815,0.0,261.256385,25579106121703,25578823424216
115,1756948111.516677,15.15432,61.757393,26.015676,32.441892,153.354599,154.073659,0.0,257.001048,25579447168593,25579167898667
120,1756948111.8693814,15.17355,62.23978,27.415076,35.741546,156.980733,157.683108,0.0,262.511514,25579799872987,25579512172871
125,1756948112.1938722,15.285491,62.77589,26.48265,32.78105,138.361837,139.107928,0.0,243.651959,25580124364374,25579856666841
130,1756948112.5517805,15.29188,62.992692,25.304959,33.619763,151.890742,152.655882,0.0,256.245413,25580482272433,25580200945111
135,1756948112.8927693,15.091133,63.348196,26.074396,33.372985,146.79220600000002,147.583075,0.0,252.0968,25580823260603,25580545893836
140,1756948113.2503178,15.057733,63.275624,25.23297,33.294044,160.107203,160.948029,0.0,264.514356,25581180810344,25580890539788
145,1756948113.5628283,15.613332,62.944047,22.971392,34.378503,133.241817,133.924282,0.0,235.453053,25581493320182,25581235572191
150,1756948113.939293,15.283277,63.778393,23.803164,30.729483,161.649982,162.390454,0.0,265.255288,25581869781257,25581580059711
155,1756948114.270863,15.015347,62.688277,23.337181,29.055233,150.710747,151.500104,0.0,252.540909,25582201355864,25581925701987
160,1756948114.5989332,15.167289,62.939591,21.063204,31.212572,131.582841,132.374392,0.0,231.544476,25582529425302,25582270184469
165,1756948114.9468007,15.717421,63.77594,21.707469,31.698635,137.299813,138.04366,0.0,239.24449,25582877293119,25582615288501
170,1756948115.286056,15.314445,63.138615,21.11966,23.690682,132.13773,132.982292,0.0,232.555012,25583216548289,25582959432175
